annotation_id,source_group,pool_used,domain,grant_domain,arxiv_domain,domain_pair,year_segment,similarity_band,grant_year,grant_id,arxiv_id,similarity,delta_t_days,temporal_ok,topic_ok,review_notes,grant_posted_date,arxiv_submitted_date,grant_title,grant_description,arxiv_title,arxiv_abstract,negative_combo
GS_011,raw,raw,biomed,biomed,biomed,biomed,mid_2013_2018,mid,2014,260569,1309.0456,0.170745,331,1,,,2014-07-30,2013-09-02,NIDDK Central Repositories Non-renewable Sample Access (X01),The NIDDK Central Repositories house valuable samples and data from numerous major clinical studies. This FOA allows investigators to apply for access to non-renewable samples from one or more of these studies. Information about the samples available can be found at www.niddkrepository.org. Applican,The Harmony Platform,"According to Wikipedia, The Mining Software Repositories (MSR) field analyzes the rich data available in software repositories, such as version control repositories, mailing list archives, bug tracking systems, issue tracking systems, etc. to uncover interesting and actionable information about software systems, projects and software engineering. The MSR field has received a great deal of attention and has now its own research conference : http://www.msrconf.org/. However performing MSR studies is still a technical challenge. Indeed, data sources (such as version control system or bug tracking systems) are highly heterogeneous. Moreover performing a study on a lot of data sources is very expensive in terms of execution time. Surprisingly, there are not so many tools able to help researchers in their MSR quests. This is why we created the Harmony platform, as a mean to assist researchers in performing MSR studies.",
GS_012,raw,raw,biomed,biomed,biomed,biomed,mid_2013_2018,mid,2015,277144,0910.0387,0.158233,2076,1,,,2015-06-09,2009-10-02,"BLM OR-WA Baker Cypress Restoration Stewardship, Redding, CA, Field Office",Background: In 1993 the Bureau of Land Management Redding Field Office acquired approximately 60 acres of land bordering an existing parcel in eastern Shasta County. PG&E acquired the new land from other private companies and then deeded the parcels to the BLM as part of a mitigation effort for a ga,Understanding forest dynamics and plantation transformation using a simple size-structured model,"Concerns about biodiversity and the long-term stability of forest ecosystems have lead to changing attitudes with respect to plantations. These artificial communities are ubiquitous, yet provide reduced habitat value in comparison to their naturally established counterparts, key factors being high density, homogeneous spatial structure, and their even-sized/aged nature. Transformation (manipulation of plantations to produce stands more reminiscent of natural ones) represents a major challenge for forest managers, and the shift from even- to uneven-aged stand management is far from simple. Tree species' attributes, too, vary dramatically. This study aims to identify generic aspects of forest population dynamics, in order to understand the temporal evolution of single species forest stands from an initial plantation lattice structure, into an ``old-growth'' state. This is achieved using a size-structured model, which implements simple rules to simulate the growth and fate of individuals in a spatial arena. We parameterise and discuss model behaviour in the context of available plantation and semi-natural data from Caledonian Scots Pine stands. We move on to illustrate the use of the model in predicting the outcome of silviculture, and discuss results in the context of stand transformation.",
GS_013,raw,raw,biomed,biomed,biomed,biomed,mid_2013_2018,low,2016,285555,q-bio/0511045,0.142156,3866,1,,,2016-06-29,2005-11-28,Inventory Climate Sensitive Arthropod Biodiversity at Denali NP&amp;P with Citizen Scientists,NOTICE OF INTENT TO AWARD This Funding Announcement is not a request for applications. This announcement is to provide public notice of the National Park Service’s intention to fund the following project activities without full and open competition. ABSTRACT Funding Announcement Number P16AC00705 Pr,The use of the GARP genetic algorithm and internet grid computing in the Lifemapper world atlas of species biodiversity,"Lifemapper (http://www.lifemapper.org) is a predictive electronic atlas of the Earth's biological biodiversity. Using a screensaver version of the GARP genetic algorithm for modeling species distributions, Lifemapper harnesses vast computing resources through 'volunteers' PCs similar to SETI@home, to develop models of the distribution of the worlds fauna and flora. The Lifemapper project's primary goal is to provide an up to date and comprehensive database of species maps and prediction models (i.e. a fauna and flora of the world) using available data on species' locations. The models are developed using specimen data from distributed museum collections and an archive of geospatial environmental correlates. A central server maintains a dynamic archive of species maps and models for research, outreach to the general community, and feedback to museum data providers. This paper is a case study in the role, use and justification of a genetic algorithm in development of large-scale environmental informatics infrastructure.",
GS_014,raw,raw,biomed,biomed,biomed,biomed,mid_2013_2018,low,2018,305566,1702.06342,0.101636,457,1,,,2018-05-24,2017-02-21,Retaining Employment and Talent After Injury/Illness Network (RETAIN) Demonstration Projects,"The Office of Disability Employment Policy (ODEP), incollaboration with the Employment and Training Administration (ETA), U.S.Department of Labor (DOL, the Department, or we), and the Social SecurityAdministration (SSA) announce the availability of approximately $20,000,000 infunds authorized by Sec",Network support of talented people,"Network support is a key success factor for talented people. As an example, the Hungarian Talent Support Network involves close to 1500 Talent Points and more than 200,000 people. This network started the Hungarian Templeton Program identifying and helping 315 exceptional cognitive talents. This network is a part of the European Talent Support Network initiated by the European Council for High Ability involving more than 300 organizations in over 30 countries in Europe and extending in other continents. These networks are giving good examples that talented people often occupy a central, but highly dynamic position in social networks. The involvement of such 'creative nodes' in network-related decision making processes is vital, especially in novel environmental challenges. Such adaptive/learning responses characterize a large variety of complex systems from proteins, through brains to society. It is crucial for talent support programs to use these networking and learning processes to increase their efficiency further.",
GS_015,raw,raw,biomed,biomed,biomed,biomed,recent_2019_2024,high,2022,344521,2410.06586,0.525868,-666,0,,,2022-12-13,2024-10-09,Supporting the use of Real-World Data to Generate Real-World Evidence in Regulatory Decision-Making (U01) Clinical Trials Optional,The purpose of this Funding Opportunity Announcement (FOA) is to address topics related to FDA's Real-World Evidence (RWE) Program and to enable FDA to assess the potential utility of real-world data (RWD) in generating RWE.,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,"Real-world data (RWD) and real-world evidence (RWE) have been increasingly used in medical product development and regulatory decision-making, especially for rare diseases. After outlining the challenges and possible strategies to address the challenges in rare disease drug development (see the accompanying paper), the Real-World Evidence (RWE) Scientific Working Group of the American Statistical Association Biopharmaceutical Section reviews the roles of RWD and RWE in clinical trials for drugs treating rare diseases. This paper summarizes relevant guidance documents and frameworks by selected regulatory agencies and the current practice on the use of RWD and RWE in natural history studies and the design, conduct, and analysis of rare disease clinical trials. A targeted learning roadmap for rare disease trials is described, followed by case studies on the use of RWD and RWE to support a natural history study and marketing applications in various settings.",
GS_016,raw,raw,biomed,biomed,biomed,biomed,recent_2019_2024,high,2019,322876,1805.01075,0.216632,581,1,,,2019-12-05,2018-05-03,Notice of Intent: Operation of the Mid-America Integrated Seismic Network 2020-2024&#8212;CERI,"Notice of Intent to award a cooperative agreement to the University of Memphis in support of the proposal entitled ""Operation of the Mid-AmericaIntegrated Seismic Network - CERI"". The recipient will be responsible for: operating and maintaining seismic stations and associated station metadata that m",Generalized Seismic Phase Detection with Deep Learning,"To optimally monitor earthquake-generating processes, seismologists have sought to lower detection sensitivities ever since instrumental seismic networks were started about a century ago. Recently, it has become possible to search continuous waveform archives for replicas of previously recorded events (template matching), which has led to at least an order of magnitude increase in the number of detected earthquakes and greatly sharpened our view of geological structures. Earthquake catalogs produced in this fashion, however, are heavily biased in that they are completely blind to events for which no templates are available, such as in previously quiet regions or for very large magnitude events. Here we show that with deep learning we can overcome such biases without sacrificing detection sensitivity. We trained a convolutional neural network (ConvNet) on the vast hand-labeled data archives of the Southern California Seismic Network to detect seismic body wave phases. We show that the ConvNet is extremely sensitive and robust in detecting phases, even when masked by high background noise, and when the ConvNet is applied to new data that is not represented in the training set (in particular, very large magnitude events). This generalized phase detection (GPD) framework will significantly improve earthquake monitoring and catalogs, which form the underlying basis for a wide range of basic and applied seismological research.",
GS_017,raw,raw,biomed,biomed,biomed,biomed,recent_2019_2024,mid,2021,337149,2011.07679,0.181326,407,1,,,2021-12-28,2020-11-16,U.S. Mission to Indonesia Annual Program Statement,"Purpose of Small Grants The U.S. Embassy’s Public Affairs Section (PAS) in Jakarta invites proposals for projects that further and support the strategic partnership between Indonesia and the U.S. through educational, cultural, informational, and media programming that highlights shared values and pr",Critical data analysis of COVID-19 spreading in Indonesia to measure the readiness of new-normal policy,"COVID-19 pandemic has become a global issue nowadays. Various efforts have been made to break the chain of the spread of the COVID-19. Indonesia's government issued a large-scale social restrictions policy to prevent the spread of the COVID-19. However, large-scale social restrictions policy impacted the economy of the Indonesian. After several considerations, the Indonesian government implemented a new-normal policy, which regulates the activities outside the home with strict health protocols. This study's objective is to measure Indonesia's readiness level after the large-scale social restrictions period towards the new-normal period. To specify the readiness level, the measurement parameters required in the form of statistical analysis and forecasting modeling. Based on the results of statistical analysis and forecasting, over the past month, new confirmed cases increased more than two times. Besides, the growth rate of new confirmed cases dramatically increased rapidly compared to the prediction results. Therefore, the government must review the new-normal policy again and emphasize economic factors and think about health factors",
GS_018,raw,raw,biomed,biomed,biomed,biomed,recent_2019_2024,mid,2022,338689,1208.3502,0.160967,3498,1,,,2022-03-15,2012-08-16,Converting UNF Radioisotopes into Energy SBIR/STTR (CURIE SBIR/STTR).,"FOA number: DE-FOA-0002692 Converting UNF Radioisotopes into Energy SBIR/STTR (CURIE SBIR/STTR). To obtain a copy of the Funding Opportunity Announcement (FOA) please go to the ARPA-E website at https://arpa-e-foa.energy.gov. To apply to this FOA, Applicants must register with and submit application",Recovery of radioisotopes from nuclear waste for radio-scintillator-luminescence energy applications,"Extraction of the light weight radioisotopes (LWR) 89Sr/90Sr, from the expended nuclear bars in the Fukushima reactor, should have decreased the extent of contamination during the course of the accident. 89Sr applications could pay for the extraction of 89Sr/90Sr from nuclear residues. Added value could be obtained by using 89Sr for cancer treatments. Known technologies could be used to relate into innovative ways LWR, to obtain nuclear energy at battery scale. LWR interact by contact with scintillators converting \beta-radiation into light-energy. This would lead to manufacturing scintillator lamps which operate independently of other source of energy. These lamps could be used to generate photoelectric energy. Engineering of radioisotopes scintillator photovoltaic cells, would lead to devices without moving parts.",
GS_019,raw,raw,biomed,biomed,biomed,biomed,recent_2019_2024,low,2019,322441,1903.02795,0.14183,250,1,,,2019-11-12,2019-03-07,R7 Alaska - FY20 Sport Fish Restoration Grant Program- State Fish and Wildlife Agencies Only,"The Sport Fish Restoration Act of 1950 (Dingell-Johnson Sport Fish Restoration Act), 64 Stat. 430 as amended; 16 U.S.C. § 777-777n, except e-1 and g-1, was enacted on August 9, 1950. It was modeled after the Pittman-Robertson Wildlife Restoration Act to create a parallel program for management, cons","Combining sale records of landings and fishers knowledge for predicting metiers in a small-scale, multi-gear, multispecies fishery","Stock management should be guided by assessment models that, among others, need to be fed by reliable data of catch and effort. However, precise data are difficult to obtain in heterogeneous fisheries. Specifically, small scale, multi gear, multispecies fisheries are dynamic systems where fishers may lively change fishing strategy conditioned by multiple drivers. Provided that some stocks can be shared by several metiers, a precise categorization of metiers should be the first step toward metier specific estimates of catch and effort, which in turn would allow a better understanding of the system dynamics. Here we propose an approach for predicting the metier of any given fishing trip from its landing records. This approach combines the knowledge of expert fishers with the existing sales register of landings in Mallorca. It successfully predicts metiers for all the 162815 small scale fishery fishing trips from Mallorca between 2004 and 2015. The largest effort is invested in the metiers Cuttlefish Fish and Spiny lobster, landings peak for Cuttlefish Fish and Dolphinfish and revenues for Spiny lobster and Dolphinfish. Metier predictions also allowed us to describe the temporal trends experienced by each metier and to characterize the species that are specific to each metier. Seasonal variability is by far more relevant than between year variability, which confirms that at least some fishers are adopting a rotation cycle of metiers along the year. Effort, landings and gross revenues decreased in the last 12 years. The approach proposed is also applicable to any other fishery for which the metier for a fishing trip sample is known, but relying on fishers expertise points more directly to fishers intention. Thus, metier predictions produced with the proposed approach are closer to the actual uses of fishers, providing better grounds for an improved management.",
GS_020,raw,raw,biomed,biomed,biomed,biomed,recent_2019_2024,low,2021,332733,2008.02347,0.100859,246,1,,,2021-04-08,2020-08-05,Local Works in the Kyrgyz Republic,"Request for Information Subject: United States Agency for International Development (USAID)/Kyrgyz Republic, Local Works in the Kyrgyz RepublicReference: RFI-72011521RFA00007Issued: April 8, 2021Due Date: April 29, 2021, 09:00 am Bishkek timeThis request for information from The United States Agency",An Interpretable Deep Learning System for Automatically Scoring Request for Proposals,"The Managed Care system within Medicaid (US Healthcare) uses Request For Proposals (RFP) to award contracts for various healthcare and related services. RFP responses are very detailed documents (hundreds of pages) submitted by competing organisations to win contracts. Subject matter expertise and domain knowledge play an important role in preparing RFP responses along with analysis of historical submissions. Automated analysis of these responses through Natural Language Processing (NLP) systems can reduce time and effort needed to explore historical responses, and assisting in writing better responses. Our work draws parallels between scoring RFPs and essay scoring models, while highlighting new challenges and the need for interpretability. Typical scoring models focus on word level impacts to grade essays and other short write-ups. We propose a novel Bi-LSTM based regression model, and provide deeper insight into phrases which latently impact scoring of responses. We contend the merits of our proposed methodology using extensive quantitative experiments. We also qualitatively asses the impact of important phrases using human evaluators. Finally, we introduce a novel problem statement that can be used to further improve the state of the art in NLP based automatic scoring systems.",
GS_021,raw,raw,cs,cs,cs,cs,early_2008_2012,high,2009,46271,1904.05211,0.447143,-3669,0,,,2009-03-24,2019-04-10,Gravitational Physics,"Emphasizes the theory of strong gravitational fields and their application to astrophysics and cosmology, computer simulations of strong and gravitational fields, and gravitational radiation; and construction of a quantum theory of gravity. The program oversees the management of the construction, co",Applicability study of the PRIMAD model to LIGO gravitational wave search workflows,"The PRIMAD model with its six components (i.e., Platform, Research Objective, Implementation, Methods, Actors, and Data), provides an abstract taxonomy to represent computational experiments and enforce reproducibility by design. In this paper, we assess the model applicability to a set of Laser Interferometer Gravitational-Wave Observatory (LIGO) workflows from literature sources (i.e., published papers). Our work outlines potentials and limits of the model in terms of its abstraction levels and application process.",
GS_022,raw,raw,cs,cs,cs,cs,early_2008_2012,high,2011,134993,1810.06911,0.326835,-2493,0,,,2011-12-19,2018-10-16,Cyber-Physical Systems,"Cyber-physical systems (CPS) are engineered systems that are built from and depend upon the synergy of computational and physical components. Emerging CPS will be coordinated, distributed, and connected, and must be robust and responsive. The CPS of tomorrow will need to far exceed the systems of to","Cyber-Physical Systems, a new formal paradigm to model redundancy and resiliency","Cyber-Physical Systems (CPS) are systems composed by a physical component that is controlled or monitored by a cyber-component, a computer-based algorithm. Advances in CPS technologies and science are enabling capability, adaptability, scalability, resiliency, safety, security, and usability that will far exceed the simple embedded systems of today. CPS technologies are transforming the way people interact with engineered systems. New smart CPS are driving innovation in various sectors such as agriculture, energy, transportation, healthcare, and manufacturing. They are leading the 4-th Industrial Revolution (Industry 4.0) that is having benefits thanks to the high flexibility of production. The Industry 4.0 production paradigm is characterized by high intercommunicating properties of its production elements in all the manufacturing processes. This is the reason it is a core concept how the systems should be structurally optimized to have the adequate level of redundancy to be satisfactorily resilient. This goal can benefit from formal methods well known in various scientific domains such as artificial intelligence. So, the current research concerns the proposal of a CPS meta-model and its instantiation. In this way it lists all kind of relationships that may occur between the CPSs themselves and between their (cyber-and physical-) components. Using the CPS meta-model formalization, with an adaptation of the Formal Concept Analysis (FCA) formal approach, this paper presents a way to optimize the modelling of CPS systems emphasizing their redundancy and their resiliency.",
